ImageID,annotator1,annotator2,annotator3
ILSVRC2012_val_00000371.JPEG,우진,은수,홍준
ILSVRC2012_val_00000445.JPEG,우진,은수,홍준
ILSVRC2012_val_00000858.JPEG,우진,은수,리안
ILSVRC2012_val_00000871.JPEG,우진,은수,리안
ILSVRC2012_val_00000972.JPEG,우진,은수,다연
ILSVRC2012_val_00001528.JPEG,우진,은수,다연
ILSVRC2012_val_00001688.JPEG,우진,홍준,리안
ILSVRC2012_val_00001816.JPEG,우진,홍준,리안
ILSVRC2012_val_00002007.JPEG,우진,홍준,다연
ILSVRC2012_val_00002017.JPEG,우진,홍준,다연
ILSVRC2012_val_00002129.JPEG,우진,리안,다연
ILSVRC2012_val_00002243.JPEG,우진,리안,다연
ILSVRC2012_val_00002331.JPEG,은수,홍준,리안
ILSVRC2012_val_00002346.JPEG,은수,홍준,리안
ILSVRC2012_val_00002669.JPEG,은수,홍준,다연
ILSVRC2012_val_00002943.JPEG,은수,홍준,다연
ILSVRC2012_val_00003011.JPEG,은수,리안,다연
ILSVRC2012_val_00003924.JPEG,은수,리안,다연
ILSVRC2012_val_00003986.JPEG,홍준,리안,다연
ILSVRC2012_val_00004290.JPEG,홍준,리안,다연
ILSVRC2012_val_00004348.JPEG,우진,은수,
ILSVRC2012_val_00004389.JPEG,우진,홍준,
ILSVRC2012_val_00004970.JPEG,우진,리안,
ILSVRC2012_val_00005177.JPEG,우진,다연,
ILSVRC2012_val_00005362.JPEG,은수,홍준,
ILSVRC2012_val_00005382.JPEG,은수,리안,
ILSVRC2012_val_00005701.JPEG,은수,다연,
ILSVRC2012_val_00005821.JPEG,홍준,리안,
ILSVRC2012_val_00005853.JPEG,홍준,다연,
ILSVRC2012_val_00005880.JPEG,리안,다연,
